N_CARD_SKIMMING,SUCCESS_ATTACK,N_INCOME,COORD_X,RECOV_AMOUNT,N_DENSITY,ATM_ID,PROB_ATTACKED,BURGLARY,VANDALISM,UNP_RATE,N_FREQ_ATTACK,N_MANUAL_ATK,RECOVERED,N_FRAUD_ATTACK,N_ATTACK_L2,N_AGE,FREGUESIA,MANUAL_ATK,INCOME,PARISH,TRANS_REVER,N_LOG_ISOLATED,N_PHYS_ATTACK,CARD_SKIMMING,N_CASH_TRAPPING,INDIRECT_LOSS,ATTACK_DURATION,COORD_Y,CARD_TRAPPING,N_CARD_TRAPPING,ACCOUNT_DATE,PERSONA1,FREQ_ATTACK,LOG_ISOLATED,CASH_TRAPPING,LOGIC_ATK,PERSONA2,DETEC_DATE,WITHIN500,N_TRANS_REVER,EXPLO_GAS,RECOV_DATE,Police_Dis,N_LOG_NETWORK,N_VANDALISM,ADDRESS,NET_LOSS,NUMBER,RAM_RAIDS,COM_DENS,EVENT_DATE,PHYS_ATTACK,N_ATTACK_L0,N_IMPLEM_TYPE,AGE,GROSS_LOSS,N_COM_DENS,N_UNP_RATE,DENSITY,N_BURGLARY,WITHIN1000,MWay_Dist,N_ATTACK_L1,LOG_NETWORK,N_EXPLO_GAS,YEAR_ACOUNT,N_LOGIC_ATK,BANK,FRAUD_ATTACK,N_RAM_RAIDS
0,1,3,-9.19278,0,1,BPI35,1.0,0,0,7,1,1,0,1,010104,3,Benfica,1,36,21,1,0,0,0,0,0,0.08,38.7494,0,0,31-Dec-2013 00:00,2,1,0,0,0,,30-Nov-2013 15:00,0,1,0,,694.24,0,0,"Estrada De Benfica 519, Lisbon",3000,1,0,28,30-Nov-2013 18:00,0,1,3,42,250,4,2,0.44,0,1000,573.97,0101,0,0,2014,0,BANCO BPI S.A.,1,0
0,,6,-9.13939,,3,ST88,1.90107590961e-247,0,0,3,0,0,,0,,3,Alvalade,0,66,7,0,0,0,0,0,,,38.74776,0,0,,,0,0,0,0,,,0,0,0,,669.89,0,0,"Praca De Alvalade, Lisbon",,0,0,18,,0,,,43,,2,1,23.82,0,1000,1728.90,,0,0,,0,BANCO SANTANDER TOTTA,0,0
0,,3,-9.19251,,1,MG42,7.66269989466e-205,0,0,15,0,0,,0,,2,Bel2m,0,34,10,0,0,0,0,0,,,38.69773,0,0,,,0,0,0,0,,,0,0,0,,798.60,0,0,"Rua Da Junqueira 126, Lisbon",,2,0,9,,0,,,35,,2,4,2.99,0,1000,1789.46,,0,0,,0,MONTEPIO GERAL,0,0
0,,4,-9.13446,,3,MG18,0.0,0,0,10,0,0,,0,,4,Arroios,0,40,22,0,0,0,0,0,,,38.73243,0,0,,,0,0,0,0,,,500,0,0,,180.80,0,0,"Avenida Almirante Reis 137, Lisbon",,1,0,47,,0,,,50,,5,3,25.04,0,1000,2955.89,,0,0,,0,MONTEPIO GERAL,0,0
0,,5,-9.13934,,1,MG84,0.0,0,0,9,0,0,,0,,3,Arroios,0,56,22,0,0,0,0,0,,,38.72225,0,0,,,0,0,0,0,,,0,0,0,,365.22,0,0,"Estrada Militar Lote, Lisbon",,1,0,9,,0,,,47,,2,2,1.51,0,1000,2939.66,,0,0,,0,MONTEPIO GERAL,0,0
0,,3,-9.10018,,3,ST73,0.0,0,0,19,0,0,,0,,4,Marvila,0,32,1,0,0,0,0,0,,,38.74674,0,0,,,0,0,0,0,,,0,0,0,,1053.92,0,0,"Rua Fernando Palha 69, Lisbon",,2,0,9,,0,,,52,,2,5,17.78,0,0,3136.70,,0,0,,0,BANCO SANTANDER TOTTA,0,0
0,,5,-9.13934,,1,ST32,0.0,0,0,9,0,0,,0,,3,Arroios,0,56,22,0,0,0,0,0,,,38.72225,0,0,,,0,0,0,0,,,0,0,0,,365.22,0,0,"Centro Congressos - PC Das Industrias, Lisbon",,1,0,9,,0,,,47,,2,2,1.51,0,1000,2939.66,,0,0,,0,BANCO SANTANDER TOTTA,0,0
0,,3,-9.20009,,1,CGD82,0.0,0,0,16,0,0,,0,,3,Bel2m,0,36,6,0,0,0,0,0,,,38.70055,0,0,,,0,0,0,0,,,500,0,0,,378.40,0,0,"Calcada Ajuda 23, Lisbon",,2,0,9,,0,,,41,,2,4,0.22,0,1000,2091.52,,0,0,,0,CAIXA GERAL DE DEPOSITOS,0,0
0,,2,-9.14805,,2,ST31,1.05389059461e-150,0,0,16,0,0,,0,,3,Avenidas Novas,0,28,15,0,0,0,0,0,,,38.74227,0,0,,,0,0,0,0,,,0,0,0,,703.55,0,0,"Avenida Julio Dinis 10a, Lisbon",,2,0,28,,0,,,46,,4,4,9.09,0,1000,1487.87,,0,0,,0,BANCO SANTANDER TOTTA,0,0
0,1,5,-9.17723,0,3,ST47,1.0,0,0,7,1,1,0,1,010102,2,Campolide,1,50,11,0,0,0,0,0,0,0.3,38.74395,1,1,31-Dec-2015 00:00,4,1,0,0,0,,25-Dec-2015 13:00,0,0,0,,1209.85,0,0,"Estrada De Benfica 310-336, Lisbon",1000,1,0,18,25-Dec-2015 01:15,0,1,3,35,1000,2,2,23.89,0,0,924.80,0101,0,0,2015,0,BANCO SANTANDER TOTTA,1,0
