N_RAM_RAIDS,RAM_RAIDS,CASH_TRAPPING,VANDALISM,FRAUD_ATTACK,FREGUESIA,MANUAL_ATK,NUMBER,N_CARD_TRAPPING,BURGLARY,N_CASH_TRAPPING,PERSONA2,EVENT_DATE,UNP_RATE,CARD_TRAPPING,N_LOG_ISOLATED,PHYS_ATTACK,N_PHYS_ATTACK,RECOVERED,N_UNP_RATE,GROSS_LOSS,COORD_Y,COORD_X,FREQ_ATTACK,N_LOGIC_ATK,RECOV_AMOUNT,N_FRAUD_ATTACK,N_TRANS_REVER,LOGIC_ATK,N_ATTACK_L1,DETEC_DATE,MWay_Dist,CARD_SKIMMING,PROB_ATTACKED,TRANS_REVER,EXPLO_GAS,LOG_ISOLATED,YEAR_ACOUNT,AGE,ACCOUNT_DATE,N_DENSITY,N_BURGLARY,PERSONA1,N_ATTACK_L2,N_CARD_SKIMMING,DENSITY,WITHIN1000,N_COM_DENS,INCOME,COM_DENS,INDIRECT_LOSS,LOG_NETWORK,ATM_ID,N_AGE,N_MANUAL_ATK,N_INCOME,BANK,N_EXPLO_GAS,N_ATTACK_L0,N_VANDALISM,PARISH,WITHIN500,N_FREQ_ATTACK,N_IMPLEM_TYPE,NET_LOSS,RECOV_DATE,Police_Dis,ADDRESS,ATTACK_DURATION,SUCCESS_ATTACK,N_LOG_NETWORK
0,0,0,0,0,Parque das Na,0,0,0,0,0,,,2,0,0,0,0,,1,,38.7708,-9.09772,0,0,,0,0,0,,,1843.72,0,0.0,0,0,0,,43,,2,0,,,0,7.80,1000,2,72,9,,0,CGD89,3,0,6,CAIXA GERAL DE DEPOSITOS,0,,0,13,500,0,,,,458.51,"Avenida Dom Joao Ii, Lisbon",,,0
0,0,0,0,0,Santa Maria Maior,0,2,0,0,0,,,18,0,0,0,0,,4,,38.71191,-9.13559,0,0,,0,0,0,,,3472.71,0,0.0,0,0,0,,62,,2,0,,,0,9.93,1000,4,38,37,,0,CGD88,5,0,3,CAIXA GERAL DE DEPOSITOS,0,,0,17,500,0,,,,423.37,"Largo Chao Do Loureiro 33, Lisbon",,,0
0,0,0,0,0,Campo de Ourique,0,1,0,0,0,,,3,0,0,0,0,,1,,38.72091,-9.15262,0,0,,0,0,0,,,1793.71,0,0.0,0,0,0,,52,,2,0,,,0,6.41,1000,2,70,18,,0,NB97,4,0,6,NOVO BANCO,0,,0,18,500,0,,,,280.92,"Rua Alexandre Herculano 51, Lisbon",,,0
0,0,0,0,0,Avenidas Novas,0,1,0,0,0,,,8,0,0,0,0,,2,,38.7338,-9.14569,0,0,,0,0,0,,,2033.00,0,0.0,0,0,0,,48,,1,0,,,0,5.68,1000,4,54,28,,0,NB96,3,0,5,NOVO BANCO,0,,0,22,500,0,,,,466.86,"Praca Duque De Saldanha 32, Lisbon",,,0
0,0,0,0,0,Carnide,0,1,0,0,0,,,13,0,0,0,0,,3,,38.76385,-9.18163,0,0,,0,0,0,,,1077.07,0,3.3969367984082496e-219,0,0,0,,34,,1,0,,,0,2.37,1000,2,34,9,,0,NB95,2,0,3,NOVO BANCO,0,,0,5,500,0,,,,292.40,"Praca Sao Francisco De Assis 1-B, Lisbon",,,0
0,0,0,0,0,Penha de Franea,0,2,0,0,0,,,17,0,0,0,0,,4,,38.72233,-9.12923,0,0,,0,0,0,,,3818.84,0,0.0,0,0,0,,49,,3,0,,,0,22.16,1000,2,26,18,,0,NB94,4,0,2,NOVO BANCO,0,,0,19,0,0,,,,611.70,"Rua Penha De Franca 37 a, Lisbon",,,0
0,0,1,0,1,Carnide,1,1,0,0,1,,21-Nov-2014 18:15,7,0,0,0,0,0,2,50,38.75002,-9.18017,1,0,0,1,0,0,0101,28-Nov-2014 15:40,676.24,0,1.0,0,0,0,2014,30,30-Nov-2014 00:00,1,0,4,010103,0,4.04,0,2,60,18,0,0,NB93,1,1,6,NOVO BANCO,0,1,0,11,0,1,3,50,,851.82,"Avenida Lusiada, Lisbon",0.25,1,0
0,0,1,0,1,Avenidas Novas,1,0,0,0,1,,06-Aug-2011 11:00,4,0,0,0,0,0,1,0,38.74923,-9.16603,1,0,0,1,0,0,0101,06-Aug-2011 11:15,573.51,0,1.0,0,0,0,2014,40,31-Aug-2011 00:00,1,0,4,010103,0,0.00,1000,2,68,9,0,0,NB92,2,1,6,NOVO BANCO,0,1,0,7,0,1,3,0,,1378.47,"Palma De Cima, Lisbon",0.25,0,0
0,0,0,0,0,Avenidas Novas,0,1,0,0,0,,,10,0,0,0,0,,3,,38.73119,-9.14776,0,0,,0,0,0,,,2075.98,0,0.0,0,0,0,,52,,2,0,,,0,10.76,1000,5,48,47,,0,MG99,4,0,5,MONTEPIO GERAL,0,,0,22,0,0,,,,257.84,"Rua Viriato, Lisbon",,,0
0,0,0,0,2,Carnide,2,1,1,0,0,,26-Mar-2015 19:40,13,1,0,0,0,0,3,800,38.747,-9.18781,2,0,0,1,0,0,0101,27-Mar-2015 11:00,595.16,1,1.0,0,0,0,2015,33,31-Mar-2015 00:00,4,0,4,010102,1,27.13,1000,2,44,18,0,0,MG98,2,1,4,MONTEPIO GERAL,0,1,0,11,0,1,3,800,,903.66,"Estrada Benfica 158, Lisbon",0.5,1,0
0,0,0,0,2,Carnide,2,1,1,0,0,,06-Jun-2012 23:30,7,1,0,0,0,0,2,1000,38.75579,-9.176,2,0,0,1,0,0,0101,07-Jun-2012 12:00,382.42,1,1.0,0,0,0,2012,26,30-Jun-2012 00:00,3,0,4,010102,1,16.78,0,2,50,9,0,0,BPI95,1,1,5,BANCO BPI S.A.,0,1,0,11,0,1,3,1000,,1000.02,"Rua Tomas Da Fonseca 4 D, Lisbon",0.41,1,0
0,0,0,0,0,Campo de Ourique,0,1,0,0,0,,,9,0,0,0,0,,2,,38.7161,-9.16412,0,0,,0,0,0,,,1061.63,0,1.9177725835401692e-187,0,0,0,,33,,3,0,,,0,19.66,1000,4,48,28,,0,BPI94,2,0,5,BANCO BPI S.A.,0,,0,3,500,0,,,,345.09,"Rua Ferreira Borges 27-A, Lisbon",,,0
0,0,0,0,1,Avenidas Novas,1,1,1,0,0,,06-Oct-2014 11:00,13,1,0,0,0,0,3,630,38.74672,-9.17,1,0,0,1,0,0,0101,07-Oct-2014 12:00,521.55,0,1.0,0,0,0,2014,34,31-Oct-2014 00:00,1,0,4,010102,0,5.92,1000,2,44,9,0,0,BPI97,2,1,4,BANCO BPI S.A.,0,1,0,11,0,1,3,630,,1417.10,"Estrada Da Luz LT 6, Lisbon",0.41,1,0
0,0,0,0,0,Campolide,0,2,0,0,0,,,16,0,0,0,0,,4,,38.7344,-9.15829,0,0,,0,0,0,,,1158.60,0,5.611707445645196e-314,0,0,0,,49,,1,0,,,0,2.14,1000,2,36,18,,0,BPI96,4,0,3,BANCO BPI S.A.,0,,0,15,500,0,,,,153.59,"Rua Fialho De Almeida 21D, Lisbon",,,0
0,0,0,0,0,Olivais,0,1,0,0,0,,,6,0,0,0,0,,2,,38.76294,-9.10463,0,0,,0,0,0,,,1856.86,0,2.5832414570603577e-62,0,0,0,,37,,2,0,,,0,12.93,1000,2,56,9,,0,BPI91,2,0,5,BANCO BPI S.A.,0,,0,13,0,0,,,,1149.99,"Avenida De Padua, Lisbon",,,0
0,0,0,0,0,Bel2m,0,2,0,0,0,,,17,0,0,0,0,,4,,38.6985,-9.20488,0,0,,0,0,0,,,1819.26,0,0.0,0,0,0,,46,,1,0,,,0,4.69,1000,2,30,9,,0,BPI90,3,0,2,BANCO BPI S.A.,0,,0,2,500,0,,,,305.21,"Rua Dos Jeronimos 6 C, Lisbon",,,0
0,0,1,0,1,Campolide,1,1,0,0,1,,05-Oct-2014 16:30,13,0,0,0,0,0,3,150,38.74175,-9.17272,1,0,0,1,0,0,0101,10-Oct-2014 10:00,532.58,0,1.0,0,0,0,2014,55,31-Oct-2014 00:00,3,0,2,010103,0,24.80,1000,2,50,18,0,0,MG91,4,1,5,MONTEPIO GERAL,0,1,0,15,0,1,3,150,,867.19,"Rua Raul Carapinha, Lisbon",3,1,0
0,0,0,0,0,Benfica,0,1,0,0,0,,,10,0,0,0,0,,3,,38.75231,-9.19691,0,0,,0,0,0,,,830.48,0,1.0,0,0,0,,45,,4,0,,,0,32.32,1000,2,42,18,,0,BPI92,3,0,4,BANCO BPI S.A.,0,,0,21,0,0,,,,763.50,"Avenida Do Uruguai 26, Lisbon",,,0
0,0,0,0,0,Santo Antnnio,0,0,0,0,0,,,2,0,0,0,0,,1,,38.72188,-9.14425,0,0,,0,0,0,,,2513.54,0,0.0,0,0,0,,55,,1,0,,,0,0.52,1000,2,56,18,,0,CP70,4,0,5,BANCO COMERCIAL PORTUGUES,0,,0,18,0,0,,,,461.08,"Travessa Larga 2, Lisbon",,,0
0,0,0,0,0,Alvalade,0,1,0,0,0,,,15,0,0,0,0,,4,,38.74634,-9.15001,0,0,,0,0,0,,,1325.99,0,3.8802670205301726e-218,0,0,0,,46,,2,0,,,0,7.10,1000,2,34,9,,0,CP71,3,0,3,BANCO COMERCIAL PORTUGUES,0,,0,15,500,0,,,,465.10,"Avenida 5 De Outubro 60-68, Lisbon",,,0
0,0,0,0,0,Avenidas Novas,0,2,0,0,0,,,16,0,0,0,0,,4,,38.73089,-9.15126,0,0,,0,0,0,,,1862.94,0,0.0,0,0,0,,45,,1,0,,,0,4.83,1000,4,28,28,,0,CP72,3,0,2,BANCO COMERCIAL PORTUGUES,0,,0,15,0,0,,,,305.83,"Avenida Antonio Augusto De Aguiar 21, Lisbon",,,0
0,0,0,0,0,Arroios,0,1,0,0,0,,,9,0,0,0,0,,2,,38.72225,-9.13934,0,0,,0,0,0,,,2939.66,0,0.0,0,0,0,,47,,1,0,,,0,1.51,1000,2,56,9,,0,CP73,3,0,5,BANCO COMERCIAL PORTUGUES,0,,0,22,0,0,,,,365.22,"Avenida Lusiada Piso 1, Lisbon",,,0
0,0,1,0,1,Belrm,1,2,0,0,1,,22-Apr-2013 18:00,18,0,0,0,0,0,4,0,38.69839,-9.2182,1,0,0,1,0,0,0101,22-Apr-2013 18:30,779.91,0,1.0,0,0,0,2013,54,30-Apr-2013 00:00,1,0,4,010103,0,1.72,0,2,26,9,0,0,CP74,4,1,2,BANCO COMERCIAL PORTUGUES,0,1,0,2,0,1,4,0,,1043.97,"R. Duarte Pacheco Pereira 30D, Lisbon",0.5,0,0
0,0,0,0,0,Alcgntara,0,1,0,0,0,,,13,0,0,0,0,,3,,38.70352,-9.17884,0,0,,0,0,0,,,614.49,0,4.6334230211563782e-144,0,0,0,,33,,1,0,,,0,1.06,1000,2,40,18,,0,CP75,2,0,4,BANCO COMERCIAL PORTUGUES,0,,0,10,500,0,,,,127.44,"Rua Rodrigues De Faria 103, Lisbon",,,0
